Elapsed_Seconds,Temp_C,Freq_MHz,Mem_Used_MB
33.6374,45.20,2400.0,1868.3
33.8402,45.75,2400.0,1868.7
34.0377,45.75,2400.0,1868.8
34.2378,46.30,2400.0,1864.5
34.4381,46.85,2400.0,1864.8
34.6382,46.30,2400.0,1864.6
34.8382,45.75,2400.0,1864.6
35.0390,46.85,2400.0,1864.6
35.2384,44.65,2400.0,1860.6
35.4389,46.85,2400.0,1861.2
35.6384,46.85,2400.0,1860.8
35.8379,44.65,2400.0,1861.3
36.0396,46.30,2400.0,1861.3
36.2394,45.20,2400.0,1856.6
36.4398,46.30,2400.0,1857.1
36.6452,46.85,2400.0,1857.1
36.8431,46.30,2400.0,1860.2
37.0419,47.40,2400.0,1861.6
37.2415,46.30,2400.0,1857.6
37.4401,46.85,2400.0,1857.6
37.6420,46.85,2400.0,1857.6
37.8403,47.40,2400.0,1857.6
38.0420,45.20,2400.0,1859.0
38.2409,46.85,2400.0,1855.7
38.4404,46.85,2400.0,1856.0
38.6428,46.85,2400.0,1856.0
38.8451,46.85,2400.0,1856.7
39.0400,47.40,2400.0,1857.5
39.2432,46.85,2400.0,1856.1
39.4458,46.85,2400.0,1856.9
39.6420,46.85,2400.0,1856.5
39.8423,46.85,2400.0,1856.5
40.0458,46.85,2400.0,1856.9
40.2434,45.75,2400.0,1853.6
40.4477,46.30,2400.0,1853.8
40.6463,45.75,2400.0,1853.8
40.8466,47.40,2400.0,1854.2
41.0480,46.85,2400.0,1854.7
41.2466,46.30,2400.0,1851.9
41.4482,47.40,2400.0,1851.9
41.6469,45.75,2400.0,1851.9
41.8498,47.40,2400.0,1851.9
42.0478,47.40,2400.0,1853.8
42.2508,47.40,2400.0,1851.3
42.4492,47.40,2400.0,1851.3
42.6463,47.95,2400.0,1851.3
42.8491,45.75,2400.0,1851.3
43.0494,47.40,2400.0,1851.3
43.2477,46.30,2400.0,1850.0
43.4515,47.95,2400.0,1850.4
43.6518,49.05,2400.0,1850.8
43.8546,47.40,2400.0,1851.7
44.0514,47.40,2400.0,1852.0
44.2503,47.40,2400.0,1849.5
44.4506,47.40,2400.0,1849.0
44.6525,47.40,2400.0,1849.0
44.8507,46.85,2400.0,1850.8
45.0573,47.40,2400.0,1851.0
45.2519,47.40,2400.0,1848.9
45.4516,49.05,2400.0,1848.9
45.6537,47.95,2400.0,1849.2
45.8512,47.95,2400.0,1849.5
46.0530,47.95,2400.0,1849.2
46.2566,47.40,2400.0,1848.5
46.4553,47.95,2400.0,1847.8
46.6555,47.40,2400.0,1847.7
46.8567,47.40,2400.0,1848.1
47.0566,48.50,2400.0,1849.7
47.2535,48.50,2400.0,1847.7
47.4598,46.85,2400.0,1847.2
47.6565,47.40,2400.0,1847.6
47.8547,47.95,2400.0,1847.6
48.0602,47.95,2400.0,1847.6
48.2579,46.85,2400.0,1846.8
48.4599,49.05,2400.0,1847.1
48.6611,46.85,2400.0,1847.5
48.8574,48.50,2400.0,1848.7
49.0593,47.40,2400.0,1848.7
49.2603,47.95,2400.0,1846.0
49.4632,49.05,2400.0,1845.8
49.6604,49.05,2400.0,1845.8
49.8613,48.50,2400.0,1846.2
50.0610,49.05,2400.0,1847.9
50.2650,49.05,2400.0,1843.6
50.4606,47.95,2400.0,1842.7
50.6657,48.50,2400.0,1843.1
50.8613,47.95,2400.0,1844.5
51.0608,48.50,2400.0,1844.8
51.2590,49.60,2400.0,1844.3
51.4619,49.05,2400.0,1844.3
51.6599,48.50,2400.0,1845.4
51.8612,48.50,2400.0,1845.1
52.0601,49.05,2400.0,1845.3
52.2613,49.05,2400.0,1843.5
52.4614,48.50,2400.0,1843.1
52.6649,47.95,2400.0,1842.9
52.8616,49.05,2400.0,1842.9
53.0599,48.50,2400.0,1844.5
53.2667,49.05,2400.0,1843.4
53.4620,48.50,2400.0,1843.0
53.6621,49.60,2400.0,1842.6
53.8621,49.05,2400.0,1842.8
54.0613,49.05,2400.0,1842.8
54.2625,49.05,2400.0,1841.2
54.4660,49.60,2400.0,1843.0
54.6662,50.15,2400.0,1843.8
54.8631,48.50,2400.0,1843.8
55.0659,49.60,2400.0,1844.5
55.2633,49.60,2400.0,1842.7
55.4632,47.95,2400.0,1842.3
55.6657,48.50,2400.0,1842.3
55.8634,49.60,2400.0,1842.8
56.0652,48.50,2400.0,1842.3
56.2633,49.60,2400.0,1842.1
56.4635,49.05,2400.0,1842.3
56.6646,49.05,2400.0,1842.3
56.8639,50.15,2400.0,1843.1
57.0665,49.60,2400.0,1842.6
57.2647,50.15,2400.0,1841.4
57.4664,49.05,2400.0,1841.4
57.6669,49.60,2400.0,1841.4
57.8658,48.50,2400.0,1842.6
58.0678,49.05,2400.0,1842.9
58.2674,48.50,2400.0,1840.6
58.4667,48.50,2400.0,1840.6
58.6714,50.15,2400.0,1840.9
58.8670,50.15,2400.0,1841.3
59.0671,49.60,2400.0,1841.4
59.2753,49.05,2400.0,1840.4
59.4678,50.70,2400.0,1840.7
59.6689,49.60,2400.0,1840.7
59.8662,50.15,2400.0,1841.5
60.0708,50.15,2400.0,1842.8
60.2681,49.60,2400.0,1840.7
60.4699,49.05,2400.0,1839.8
60.6705,49.05,2400.0,1839.8
60.8667,49.60,2400.0,1839.8
61.0686,49.05,2400.0,1840.1
61.2684,50.70,2400.0,1838.4
61.4744,50.15,2400.0,1838.7
61.6692,49.60,2400.0,1838.7
61.8740,49.60,2400.0,1839.8
62.0691,50.70,2400.0,1840.1
62.2686,49.05,2400.0,1839.0
62.4700,50.70,2400.0,1839.0
62.6705,51.25,2400.0,1839.8
62.8746,50.15,2400.0,1839.2
63.0699,50.70,2400.0,1839.6
63.2704,50.15,2400.0,1838.0
63.4708,50.70,2400.0,1838.0
63.6698,51.25,2400.0,1838.0
63.8743,50.70,2400.0,1837.1
64.0715,50.70,2400.0,1837.7
64.2713,50.70,2400.0,1838.3
64.4688,50.70,2400.0,1838.5
64.6707,50.70,2400.0,1838.8
64.8718,51.25,2400.0,1839.1
65.0758,50.70,2400.0,1839.0
65.2712,50.70,2400.0,1837.2
65.4715,50.70,2400.0,1837.2
65.6712,51.25,2400.0,1837.2
65.8715,51.25,2400.0,1838.3
66.0754,50.70,2400.0,1839.1
66.2728,51.80,2400.0,1836.9
66.4741,50.70,2400.0,1837.1
66.6722,51.25,2400.0,1837.1
66.8715,51.25,2400.0,1837.3
67.0746,50.70,2400.0,1837.3
67.2750,51.25,2400.0,1837.2
67.4753,51.80,2400.0,1837.9
67.6760,51.25,2400.0,1838.3
67.8749,51.25,2400.0,1838.9
68.0752,51.25,2400.0,1838.9
68.2771,50.70,2400.0,1837.4
68.4757,51.25,2400.0,1837.1
68.6749,50.70,2400.0,1837.3
68.8754,50.15,2400.0,1837.3
69.0756,51.25,2400.0,1837.7
69.2771,51.25,2400.0,1838.5
69.4762,51.80,2400.0,1838.5
69.6768,50.70,2400.0,1837.8
69.8785,51.25,2400.0,1837.8
70.0774,51.80,2400.0,1837.8
70.2791,50.15,2400.0,1837.2
70.4774,51.25,2400.0,1838.8
70.6812,52.35,2400.0,1839.4
70.8802,50.15,2400.0,1839.4
71.0804,51.80,2400.0,1840.1
71.2856,50.70,2400.0,1839.0
71.4782,50.70,2400.0,1839.0
71.6798,50.70,2400.0,1839.0
71.8783,52.35,2400.0,1839.0
72.0810,52.35,2400.0,1839.2
72.2783,52.35,2400.0,1837.8
72.4812,51.80,2400.0,1838.2
72.6814,51.80,2400.0,1839.0
72.8836,50.70,2400.0,1839.2
73.0814,52.35,2400.0,1839.2
73.2799,51.80,2400.0,1838.1
73.4818,51.80,2400.0,1837.9
73.6807,51.80,2400.0,1837.9
73.8821,51.80,2400.0,1837.9
74.0853,51.25,2400.0,1838.1
74.2824,52.35,2400.0,1837.2
74.4817,51.25,2400.0,1839.1
74.6822,51.80,2400.0,1839.4
74.8828,51.25,2400.0,1839.6
75.0863,51.25,2400.0,1839.6
75.2854,51.25,2400.0,1839.0
75.4806,51.25,2400.0,1838.9
75.6838,51.80,2400.0,1838.9
75.8813,51.25,2400.0,1838.9
76.0825,51.80,2400.0,1838.9
76.2816,52.35,2400.0,1837.5
76.4834,51.25,2400.0,1837.7
76.6858,51.80,2400.0,1838.1
76.8841,52.35,2400.0,1839.1
77.0841,52.90,2400.0,1839.1
77.2834,51.80,2400.0,1837.6
77.4835,52.35,2400.0,1837.4
77.6876,52.35,2400.0,1837.2
77.8865,52.35,2400.0,1837.4
78.0881,52.35,2400.0,1838.3
78.2862,52.35,2400.0,1837.4
78.4917,52.35,2400.0,1837.5
78.6911,51.80,2400.0,1837.5
78.8913,52.35,2400.0,1838.6
79.0935,51.25,2400.0,1838.6
79.2936,52.35,2400.0,1837.7
79.4957,51.80,2400.0,1837.7
79.6960,52.35,2400.0,1837.7
79.8959,51.80,2400.0,1837.9
80.0938,52.90,2400.0,1837.9
80.2977,53.45,2400.0,1835.7
80.4945,51.80,2400.0,1836.5
80.6998,52.90,2400.0,1836.7
80.8966,52.90,2400.0,1837.0
81.0956,52.35,2400.0,1838.1
81.2956,52.35,2400.0,1837.1
81.4989,52.35,2400.0,1837.3
81.6950,52.90,2400.0,1837.3
81.8988,52.90,2400.0,1837.7
82.0952,52.35,2400.0,1837.8
82.2961,53.45,2400.0,1835.3
82.4980,52.90,2400.0,1836.9
82.6971,52.90,2400.0,1837.0
82.8974,51.80,2400.0,1837.0
83.0984,52.90,2400.0,1837.8
83.2995,53.45,2400.0,1836.3
83.4961,51.80,2400.0,1835.9
83.6997,54.00,2400.0,1836.1
83.8981,52.35,2400.0,1836.1
84.0986,53.45,2400.0,1836.1
84.2987,53.45,2400.0,1836.5
84.4980,53.45,2400.0,1836.5
84.6990,52.90,2400.0,1836.5
84.8975,51.80,2400.0,1835.8
85.1017,52.35,2400.0,1835.6
85.2975,52.90,2400.0,1835.1
85.4975,54.55,2400.0,1835.5
85.6984,54.55,2400.0,1835.5
85.8977,51.80,2400.0,1835.5
86.1021,54.00,2400.0,1835.5
86.2981,54.55,2400.0,1833.6
86.4986,52.90,2400.0,1833.6
86.7003,52.90,2400.0,1833.8
86.9010,54.00,2400.0,1834.2
87.1007,54.00,2400.0,1834.3
87.2988,54.00,2400.0,1832.1
87.5020,54.00,2400.0,1831.8
87.6999,54.00,2400.0,1831.8
87.9010,54.00,2400.0,1831.8
88.1028,54.00,2400.0,1832.6
88.2997,54.00,2400.0,1833.8
88.5025,52.90,2400.0,1834.9
88.7032,54.00,2400.0,1835.2
88.9094,52.90,2400.0,1835.9
89.1014,54.00,2400.0,1835.9
89.3001,53.45,2400.0,1834.6
89.5021,54.55,2400.0,1834.4
89.7001,52.90,2400.0,1834.4
89.9029,54.00,2400.0,1834.0
90.1017,52.90,2400.0,1834.0
90.3018,52.90,2400.0,1832.1
90.5005,54.00,2400.0,1832.1
90.7002,55.10,2400.0,1832.3
90.9011,52.90,2400.0,1832.7
91.1014,54.00,2400.0,1832.8
91.3013,54.00,2400.0,1831.1
91.5022,54.55,2400.0,1831.6
91.7015,54.00,2400.0,1831.6
91.9017,54.55,2400.0,1831.9
92.1033,53.45,2400.0,1831.9
92.3024,54.55,2400.0,1829.5
92.5017,52.90,2400.0,1829.3
92.7022,54.00,2400.0,1829.5
92.9022,54.55,2400.0,1829.3
93.1043,54.55,2400.0,1829.3
93.3035,54.00,2400.0,1829.9
93.5057,53.45,2400.0,1829.8
93.7027,54.00,2400.0,1829.8
93.9048,54.00,2400.0,1829.8
94.1045,54.55,2400.0,1829.8
94.3052,53.45,2400.0,1828.9
94.5054,54.55,2400.0,1828.9
94.7076,53.45,2400.0,1828.9
94.9056,54.55,2400.0,1829.3
95.1090,54.55,2400.0,1829.6
95.3108,54.55,2400.0,1829.3
95.5075,55.65,2400.0,1830.5
95.7085,54.55,2400.0,1831.2
95.9135,54.55,2400.0,1831.2
96.1091,55.65,2400.0,1831.4
96.3078,54.55,2400.0,1829.8
96.5093,55.10,2400.0,1829.1
96.7083,54.00,2400.0,1829.5
96.9081,54.00,2400.0,1830.5
97.1067,55.10,2400.0,1830.5
97.3080,53.45,2400.0,1830.3
97.5072,55.10,2400.0,1830.3
97.7089,55.10,2400.0,1830.3
97.9076,54.55,2400.0,1830.7
98.1092,55.10,2400.0,1830.8
98.3083,55.10,2400.0,1829.6
98.5107,55.65,2400.0,1829.6
98.7097,54.55,2400.0,1830.8
98.9098,55.10,2400.0,1830.2
99.1101,54.00,2400.0,1830.2
99.3119,54.00,2400.0,1831.0
99.5108,54.55,2400.0,1831.0
99.7132,55.10,2400.0,1831.0
99.9114,55.10,2400.0,1831.0
100.1122,54.55,2400.0,1831.0
100.3128,55.65,2400.0,1829.5
100.5133,55.65,2400.0,1829.8
100.7107,55.10,2400.0,1829.2
100.9120,55.10,2400.0,1830.7
101.1109,54.00,2400.0,1830.9
101.3172,55.10,2400.0,1830.0
101.5128,55.65,2400.0,1829.8
101.7135,55.10,2400.0,1829.8
101.9142,55.10,2400.0,1830.5
102.1137,55.65,2400.0,1830.7
102.3223,56.20,2400.0,1828.4
102.5143,55.65,2400.0,1828.6
102.7137,55.65,2400.0,1828.6
102.9134,54.55,2400.0,1829.2
103.1165,54.00,2400.0,1829.2
103.3130,55.65,2400.0,1829.6
103.5117,54.55,2400.0,1829.6
103.7128,54.55,2400.0,1829.6
103.9128,54.55,2400.0,1829.4
104.1133,54.00,2400.0,1829.6
104.3140,55.10,2400.0,1828.4
104.5145,54.55,2400.0,1828.8
104.7134,55.65,2400.0,1828.9
104.9126,52.90,2400.0,1828.8
105.1138,52.90,2400.0,1841.5
105.3137,54.55,2400.0,1841.0
105.5158,54.00,2400.0,1839.5
105.7136,53.45,2400.0,1841.1
105.9148,53.45,2400.0,1841.1
106.1179,54.00,2400.0,1841.5
106.3134,54.00,2400.0,1841.3
106.5184,55.65,2400.0,1841.3
106.7143,54.55,2400.0,1840.6
106.9150,55.10,2400.0,1840.6
107.1145,55.65,2400.0,1840.6
107.3176,54.00,2400.0,1838.4
107.5149,55.10,2400.0,1839.5
107.7173,54.55,2400.0,1839.5
107.9175,55.65,2400.0,1839.5
108.1171,55.65,2400.0,1839.5
108.3170,55.10,2400.0,1838.2
108.5212,55.10,2400.0,1837.4
108.7175,55.65,2400.0,1837.8
108.9171,56.20,2400.0,1837.8
109.1172,56.75,2400.0,1838.9
109.3191,56.20,2400.0,1838.9
109.5199,55.65,2400.0,1837.5
109.7196,54.55,2400.0,1837.5
109.9181,55.10,2400.0,1837.7
110.1210,55.65,2400.0,1837.9
110.3189,53.45,2400.0,1837.6
110.5225,56.20,2400.0,1837.6
110.7219,55.10,2400.0,1837.6
110.9223,54.55,2400.0,1838.7
111.1210,56.20,2400.0,1838.7
111.3215,56.20,2400.0,1836.0
111.5289,56.75,2400.0,1837.6
111.7224,55.65,2400.0,1838.2
111.9245,56.20,2400.0,1838.2
112.1260,56.20,2400.0,1839.4
112.3239,56.20,2400.0,1838.9
112.5295,56.75,2400.0,1838.9
112.7248,55.10,2400.0,1837.5
112.9253,56.75,2400.0,1837.5
113.1244,56.75,2400.0,1838.5
113.3256,56.75,2400.0,1836.4
113.5278,56.20,2400.0,1836.4
113.7251,56.75,2400.0,1836.4
113.9267,57.30,2400.0,1835.6
114.1308,55.65,2400.0,1835.4
114.3302,56.75,2400.0,1835.2
114.5339,56.75,2400.0,1835.2
114.7340,56.75,2400.0,1835.2
114.9334,56.75,2400.0,1835.2
115.1306,57.85,2400.0,1834.3
115.3317,56.75,2400.0,1834.2
115.5314,57.85,2400.0,1834.1
115.7315,57.30,2400.0,1834.1
115.9319,57.30,2400.0,1834.4
116.1358,56.20,2400.0,1834.2
116.3359,55.65,2400.0,1833.9
116.5348,57.30,2400.0,1834.4
116.7399,57.85,2400.0,1834.4
116.9458,56.75,2400.0,1834.8
117.1412,56.20,2400.0,1835.6
117.3392,56.20,2400.0,1835.8
117.5402,57.30,2400.0,1835.4
117.8438,56.75,2400.0,1834.4
117.9436,56.75,2400.0,1834.4
118.1444,57.30,2400.0,1834.9
118.3439,57.30,2400.0,1834.0
118.5459,55.65,2400.0,1834.0
118.7432,57.85,2400.0,1833.1
118.9432,55.65,2400.0,1833.1
119.1426,56.20,2400.0,1831.5
119.3473,57.30,2400.0,1831.8
119.5449,57.30,2400.0,1831.8
119.7432,58.40,2400.0,1831.8
119.9456,57.85,2400.0,1831.9
120.1443,56.20,2400.0,1831.4
120.3451,57.30,2400.0,1831.0
120.5470,57.30,2400.0,1831.0
120.7469,57.30,2400.0,1831.4
120.9522,56.20,2400.0,1831.9
121.1472,56.20,2400.0,1831.8
121.3460,56.20,2400.0,1831.8
121.5476,56.75,2400.0,1831.8
121.7490,57.30,2400.0,1831.0
121.9484,57.30,2400.0,1831.1
122.1482,58.40,2400.0,1831.8
122.3484,57.30,2400.0,1831.9
122.5481,56.75,2400.0,1832.6
122.7498,56.75,2400.0,1834.1
122.9491,56.20,2400.0,1834.1
