Task_ID,Start_Time_ISO,Elapsed_Min,TTFT_s,TPS,Tokens,Duration_s,Temp_End_C,Freq_End_MHz,Mem_Peak_MB,Success
0,2026-03-22T22:43:18.487207,3.2260,65.795,9.34,1193,193.561,66.10,2400.0,2142.8,True
1,2026-03-22T22:47:09.743381,7.0803,61.174,8.65,1471,231.192,82.60,2311.0,2148.4,True
2,2026-03-22T22:52:18.944644,12.2336,91.401,7.96,1733,309.133,83.70,2256.0,2140.7,True
3,2026-03-22T22:57:29.646457,17.4120,78.115,7.16,1666,310.636,83.15,2256.0,2141.4,True
