Model,Count,S_semantic,S_logic,D_hallu,R_complete,Avg_TTFT_ms,Avg_TPS,Avg_Mem_MB,Ratio_Perfect,Ratio_Flawed,Ratio_Error
Llama3.2-1B,100,0.51,2.7,0.67,1.0,1376.246288,8.207125000000001,1848.0894999999998,0.26,0.25,0.49
Qwen3-1.7B,100,0.94,4.65,0.15,1.0,62769.42773958333,24.69553838383838,2190.9186,0.82,0.12,0.06
