Task_ID,Start_Time_ISO,Elapsed_Min,TTFT_s,TPS,Tokens,Duration_s,Temp_End_C,Freq_End_MHz,Mem_Peak_MB,Throttled_Flag,Success
0,2026-03-23T00:11:15.463552,3.6036,73.712,9.19,1310,216.211,71.05,2400.0,2149.7,0,True
1,2026-03-23T00:16:03.037592,8.3962,64.930,7.75,1725,287.489,85.35,2146.0,2148.2,1,True
2,2026-03-23T00:21:04.559037,13.4218,68.965,7.05,1640,301.451,84.80,1500.0,2148.5,1,True
3,2026-03-23T00:26:17.100393,18.6308,96.007,7.65,1657,312.474,83.70,2201.0,2146.4,1,True
